"Name","Location","Function Signature","Function Size"
"operator=","1000a5e0","PPropertyValue * operator=(PPropertyValue * this\, TLString * param_1)","21"
"operator=","1000a600","PPropertyValue * operator=(PPropertyValue * this\, TPWString * param_1)","21"
"operator=","1000a620","PPropertyValue * operator=(PPropertyValue * this\, TPCString * param_1)","21"
"PPropertyValue","1000a640","undefined PPropertyValue(PPropertyValue * this\, PPropertyValue * param_1)","28"
"PPropertyValue","1000a660","undefined PPropertyValue(PPropertyValue * this\, bool param_1)","20"
"PPropertyValue","1000a680","undefined PPropertyValue(PPropertyValue * this\, float param_1)","20"
"PPropertyValue","1000a6a0","undefined PPropertyValue(PPropertyValue * this\, uint param_1)","20"
"PPropertyValue","1000a6c0","undefined PPropertyValue(PPropertyValue * this\, int param_1)","20"
"PPropertyValue","1000a6e0","undefined PPropertyValue(PPropertyValue * this)","11"
"PPropertyWriter","1000a860","undefined PPropertyWriter(PPropertyWriter * this)","70"
"~PPropertyWriter","1000a8b0","void ~PPropertyWriter(PPropertyWriter * this)","80"
"Open","1000a900","bool Open(PPropertyWriter * this\, TWString * param_1)","172"
"Open","1000a9b0","bool Open(PPropertyWriter * this\, TWString * param_1\, TFile * param_2)","143"
"Save","1000aa40","bool Save(PPropertyWriter * this)","175"
"PutPropertyName","1000ab10","bool PutPropertyName(PPropertyWriter * this\, TPCString * param_1\, TPCString * param_2)","172"
"PutBlockHeader","1000abc0","bool PutBlockHeader(PPropertyWriter * this\, TPCString * param_1)","104"
"PutPropertyBlock","1000ac30","bool PutPropertyBlock(PPropertyWriter * this\, int param_1\, PProperties * param_2)","648"
"Put","1000aee0","bool Put(PPropertyWriter * this\, PPropertyValue * param_1)","765"
"Put","1000b200","bool Put(PPropertyWriter * this\, PPropertyName * param_1)","178"
"Put","1000b2c0","bool Put(PPropertyWriter * this\, TPWString * param_1)","73"
"Put","1000b310","bool Put(PPropertyWriter * this\, TLString * param_1)","309"
"Put","1000b450","bool Put(PPropertyWriter * this\, char param_1\, int param_2)","64"
"Put","1000b490","bool Put(PPropertyWriter * this\, undefined param_1)","198"
"Put","1000b560","bool Put(PPropertyWriter * this\, char * param_1)","164"
"Put","1000b610","bool Put(PPropertyWriter * this\, uint param_1)","84"
"PutToken","1000b670","bool PutToken(PPropertyWriter * this\, undefined param_1)","676"
"PutLiteral","1000b920","bool PutLiteral(PPropertyWriter * this\, char * param_1)","79"
"string_needs_quotes","1000b970","bool string_needs_quotes(PPropertyWriter * this\, char * param_1\, int param_2)","244"
"BufferCChar","1000ba70","int BufferCChar(PPropertyWriter * this\, char * param_1)","60"
"BufferCPrintf","1000bab0","int BufferCPrintf(PPropertyWriter * this\, char * param_1\, ...)","34"
"FlushWriteBuffer","1000bae0","int FlushWriteBuffer(PPropertyWriter * this)","49"
"FUN_1000bb20","1000bb20","undefined FUN_1000bb20(void * this\, uint param_1)","181"
"Error","1000bc40","void Error(PPropertyWriter * this\, TWString * param_1)","13"
"Put","1000bc50","bool Put(PPropertyWriter * this\, bool param_1)","50"
"Put","1000bc90","bool Put(PPropertyWriter * this\, float param_1)","42"
"Put","1000bcc0","bool Put(PPropertyWriter * this\, int param_1)","42"
"Put","1000bcf0","bool Put(PPropertyWriter * this\, TPCString * param_1)","33"
"PutNewLine","1000bd20","bool PutNewLine(PPropertyWriter * this)","32"
"PutEndLine","1000bd40","bool PutEndLine(PPropertyWriter * this)","32"
"PutSpace","1000bd60","bool PutSpace(PPropertyWriter * this)","32"
