"Name","Location","Type","Param Count","Function Name","Data Type","Preview"
"?GetStateVarMask@TGUIWidgetInfo@Toshi@@QBEIABVTPCString@2@@Z","1001b2d0","Function","2","Toshi::TGUIWidgetInfo::GetStateVarMask","","?GetStateVarMask@TGUIWidgetInfo@Toshi@@QBEIABVTPCString@2@@Z"
"Ordinal_259","1001b320","Function","2","Toshi::TGUIWidgetInfo::AddStateVars","","Ordinal_259"
"AddStateVars","1001b320","Function","2","Toshi::TGUIWidgetInfo::AddStateVars","void","void AddStateVars(TGUIWidgetInfo * this\, TSortedArray<class_Toshi::TGUIStateVarInfo\,struct_Toshi::TGUIStateVarInfo::Comparator> * param_1)"
"?AddStateVars@TGUIWidgetInfo@Toshi@@QAEXABV?$TSortedArray@VTGUIStateVarInfo@Toshi@@UComparator@12@@2@@Z","1001b320","Function","2","Toshi::TGUIWidgetInfo::AddStateVars","","?AddStateVars@TGUIWidgetInfo@Toshi@@QAEXABV?$TSortedArray@VTGUIStateVarInfo@Toshi@@UComparator@12@@2@@Z"
"Ordinal_1130","1001b430","Function","2","Toshi::TGUIWidgetInfo::SetWidgetName","","Ordinal_1130"
"SetWidgetName","1001b430","Function","2","Toshi::TGUIWidgetInfo::SetWidgetName","void","void SetWidgetName(TGUIWidgetInfo * this\, TPCString * param_1)"
"?SetWidgetName@TGUIWidgetInfo@Toshi@@QAEXABVTPCString@2@@Z","1001b430","Function","2","Toshi::TGUIWidgetInfo::SetWidgetName","","?SetWidgetName@TGUIWidgetInfo@Toshi@@QAEXABVTPCString@2@@Z"
"Ordinal_724","1001b4a0","Function","2","Toshi::TGUIWidgetInfo::GetPropertyInfo","","Ordinal_724"
"GetPropertyInfo","1001b4a0","Function","2","Toshi::TGUIWidgetInfo::GetPropertyInfo","TGUIPropertySpec *","TGUIPropertySpec * GetPropertyInfo(TGUIWidgetInfo * this\, TPCString * param_1)"
"?GetPropertyInfo@TGUIWidgetInfo@Toshi@@IBEPBVTGUIPropertySpec@2@ABVTPCString@2@@Z","1001b4a0","Function","2","Toshi::TGUIWidgetInfo::GetPropertyInfo","","?GetPropertyInfo@TGUIWidgetInfo@Toshi@@IBEPBVTGUIPropertySpec@2@ABVTPCString@2@@Z"
"Ordinal_858","1001b510","Function","0","Toshi::TGUIWidget::InitialiseStatic","","Ordinal_858"
"InitialiseStatic","1001b510","Function","0","Toshi::TGUIWidget::InitialiseStatic","void","void InitialiseStatic(void)"
"?InitialiseStatic@TGUIWidget@Toshi@@CGXXZ","1001b510","Function","0","Toshi::TGUIWidget::InitialiseStatic","","?InitialiseStatic@TGUIWidget@Toshi@@CGXXZ"
"Ordinal_431","1001c970","Function","0","Toshi::TGUIWidget::DeinitialiseStatic","","Ordinal_431"
"DeinitialiseStatic","1001c970","Function","0","Toshi::TGUIWidget::DeinitialiseStatic","void","void DeinitialiseStatic(void)"
"?DeinitialiseStatic@TGUIWidget@Toshi@@CGXXZ","1001c970","Function","0","Toshi::TGUIWidget::DeinitialiseStatic","","?DeinitialiseStatic@TGUIWidget@Toshi@@CGXXZ"
"Ordinal_98","1001ca40","Function","1","Toshi::TGUIWidget::TGUIWidget","","Ordinal_98"
"TGUIWidget","1001ca40","Function","1","Toshi::TGUIWidget::TGUIWidget","undefined","undefined TGUIWidget(TGUIWidget * this)"
"??0TGUIWidget@Toshi@@QAE@XZ","1001ca40","Function","1","Toshi::TGUIWidget::TGUIWidget","","??0TGUIWidget@Toshi@@QAE@XZ"
"Ordinal_150","1001cb00","Function","1","Toshi::TGUIWidget::~TGUIWidget","","Ordinal_150"
"~TGUIWidget","1001cb00","Function","1","Toshi::TGUIWidget::~TGUIWidget","void","void ~TGUIWidget(TGUIWidget * this)"
"??1TGUIWidget@Toshi@@UAE@XZ","1001cb00","Function","1","Toshi::TGUIWidget::~TGUIWidget","","??1TGUIWidget@Toshi@@UAE@XZ"
"Ordinal_456","1001cd40","Function","2","Toshi::TGUIWidget::Deserialise","","Ordinal_456"
"Deserialise","1001cd40","Function","2","Toshi::TGUIWidget::Deserialise","bool","bool Deserialise(TGUIWidget * this\, PProperties * param_1)"
"?Deserialise@TGUIWidget@Toshi@@UAE_NPBVPProperties@@@Z","1001cd40","Function","2","Toshi::TGUIWidget::Deserialise","","?Deserialise@TGUIWidget@Toshi@@UAE_NPBVPProperties@@@Z"
"Ordinal_1003","1001d120","Function","2","Toshi::TGUIWidget::Serialise","","Ordinal_1003"
"Serialise","1001d120","Function","2","Toshi::TGUIWidget::Serialise","bool","bool Serialise(TGUIWidget * this\, PProperties * param_1)"
"?Serialise@TGUIWidget@Toshi@@UAE_NPAVPProperties@@@Z","1001d120","Function","2","Toshi::TGUIWidget::Serialise","","?Serialise@TGUIWidget@Toshi@@UAE_NPAVPProperties@@@Z"
"Ordinal_1057","1001d340","Function","2","Toshi::TGUIWidget::SetInterface","","Ordinal_1057"
"SetInterface","1001d340","Function","2","Toshi::TGUIWidget::SetInterface","void","void SetInterface(TGUIWidget * this\, TGUIInterface * param_1)"
"?SetInterface@TGUIWidget@Toshi@@UAEXPAVTGUIInterface@2@@Z","1001d340","Function","2","Toshi::TGUIWidget::SetInterface","","?SetInterface@TGUIWidget@Toshi@@UAEXPAVTGUIInterface@2@@Z"
"Ordinal_723","1001d3a0","Function","2","Toshi::TGUIWidget::GetPropertyInfo","","Ordinal_723"
"GetPropertyInfo","1001d3a0","Function","2","Toshi::TGUIWidget::GetPropertyInfo","TGUIPropertySpec *","TGUIPropertySpec * GetPropertyInfo(TGUIWidget * this\, int param_1)"
"?GetPropertyInfo@TGUIWidget@Toshi@@UBEPBVTGUIPropertySpec@2@H@Z","1001d3a0","Function","2","Toshi::TGUIWidget::GetPropertyInfo","","?GetPropertyInfo@TGUIWidget@Toshi@@UBEPBVTGUIPropertySpec@2@H@Z"
