"Name","Location","Type","Param Count","Function Name","Data Type","Preview"
"SetQBaseIndex","10009f10","Function","2","Toshi::TKeyframeLibraryInstance::SetQBaseIndex","void","void SetQBaseIndex(TKeyframeLibraryInstance * this\, int param_1)"
"?SetQBaseIndex@TKeyframeLibraryInstance@Toshi@@QAEXH@Z","10009f10","Function","2","Toshi::TKeyframeLibraryInstance::SetQBaseIndex","","?SetQBaseIndex@TKeyframeLibraryInstance@Toshi@@QAEXH@Z"
"Ordinal_1041","10009f20","Function","2","Toshi::TKeyframeLibraryInstance::SetTBaseIndex","","Ordinal_1041"
"SetTBaseIndex","10009f20","Function","2","Toshi::TKeyframeLibraryInstance::SetTBaseIndex","void","void SetTBaseIndex(TKeyframeLibraryInstance * this\, int param_1)"
"?SetTBaseIndex@TKeyframeLibraryInstance@Toshi@@QAEXH@Z","10009f20","Function","2","Toshi::TKeyframeLibraryInstance::SetTBaseIndex","","?SetTBaseIndex@TKeyframeLibraryInstance@Toshi@@QAEXH@Z"
"Ordinal_705","10009f30","Function","2","Toshi::TKeyframeLibraryInstance::GetS","","Ordinal_705"
"GetS","10009f30","Function","2","Toshi::TKeyframeLibraryInstance::GetS","float","float GetS(TKeyframeLibraryInstance * this\, int param_1)"
"?GetS@TKeyframeLibraryInstance@Toshi@@QAEMH@Z","10009f30","Function","2","Toshi::TKeyframeLibraryInstance::GetS","","?GetS@TKeyframeLibraryInstance@Toshi@@QAEMH@Z"
"Ordinal_681","10009f80","Function","2","Toshi::TKeyframeLibraryInstance::GetQ","","Ordinal_681"
"GetQ","10009f80","Function","2","Toshi::TKeyframeLibraryInstance::GetQ","TAnimQuaternion *","TAnimQuaternion * GetQ(TKeyframeLibraryInstance * this\, int param_1)"
"?GetQ@TKeyframeLibraryInstance@Toshi@@QAEPAUTAnimQuaternion@2@H@Z","10009f80","Function","2","Toshi::TKeyframeLibraryInstance::GetQ","","?GetQ@TKeyframeLibraryInstance@Toshi@@QAEPAUTAnimQuaternion@2@H@Z"
"Ordinal_742","10009fd0","Function","2","Toshi::TKeyframeLibraryInstance::GetT","","Ordinal_742"
"GetT","10009fd0","Function","2","Toshi::TKeyframeLibraryInstance::GetT","TAnimVector *","TAnimVector * GetT(TKeyframeLibraryInstance * this\, int param_1)"
"?GetT@TKeyframeLibraryInstance@Toshi@@QAEPAUTAnimVector@2@H@Z","10009fd0","Function","2","Toshi::TKeyframeLibraryInstance::GetT","","?GetT@TKeyframeLibraryInstance@Toshi@@QAEPAUTAnimVector@2@H@Z"
"Ordinal_708","1000a030","Function","1","Toshi::TKeyframeLibraryInstance::GetSCount","","Ordinal_708"
"GetSCount","1000a030","Function","1","Toshi::TKeyframeLibraryInstance::GetSCount","int","int GetSCount(TKeyframeLibraryInstance * this)"
