"Name","Location","Type","Param Count","Function Name","Data Type","Preview"
"GetFactory","1000a5d0","Function","1","Toshi::TVertexPoolResource::GetFactory","TVertexFactoryResource *","TVertexFactoryResource * GetFactory(TVertexPoolResource * this)"
"?GetFactory@TVertexPoolResource@Toshi@@QAEPAVTVertexFactoryResource@2@XZ","1000a5d0","Function","1","Toshi::TVertexPoolResource::GetFactory","","?GetFactory@TVertexPoolResource@Toshi@@QAEPAVTVertexFactoryResource@2@XZ"
"Ordinal_30","1000a5e0","Function","1","Toshi::TVertexPoolResource::~TVertexPoolResource","","Ordinal_30"
"~TVertexPoolResource","1000a5e0","Function","1","Toshi::TVertexPoolResource::~TVertexPoolResource","void","void ~TVertexPoolResource(TVertexPoolResource * this)"
"??1TVertexPoolResource@Toshi@@UAE@XZ","1000a5e0","Function","1","Toshi::TVertexPoolResource::~TVertexPoolResource","","??1TVertexPoolResource@Toshi@@UAE@XZ"
"Ordinal_126","1000a5f0","Function","0","Toshi::TVertexPoolResource::DeinitialiseStatic","","Ordinal_126"
"DeinitialiseStatic","1000a5f0","Function","0","Toshi::TVertexPoolResource::DeinitialiseStatic","void","void DeinitialiseStatic(void)"
"?DeinitialiseStatic@TVertexPoolResource@Toshi@@CGXXZ","1000a5f0","Function","0","Toshi::TVertexPoolResource::DeinitialiseStatic","","?DeinitialiseStatic@TVertexPoolResource@Toshi@@CGXXZ"
"Ordinal_228","1000a600","Function","0","Toshi::TVertexPoolResource::InitialiseStatic","","Ordinal_228"
"InitialiseStatic","1000a600","Function","0","Toshi::TVertexPoolResource::InitialiseStatic","void","void InitialiseStatic(void)"
"?InitialiseStatic@TVertexPoolResource@Toshi@@CGXXZ","1000a600","Function","0","Toshi::TVertexPoolResource::InitialiseStatic","","?InitialiseStatic@TVertexPoolResource@Toshi@@CGXXZ"
"Ordinal_112","1000a610","Function","1","Toshi::TVertexPoolResource::CreateObjectInPlace","","Ordinal_112"
"CreateObjectInPlace","1000a610","Function","1","Toshi::TVertexPoolResource::CreateObjectInPlace","TObject *","TObject * CreateObjectInPlace(void * param_1)"
"?CreateObjectInPlace@TVertexPoolResource@Toshi@@CGPAVTObject@2@PAX@Z","1000a610","Function","1","Toshi::TVertexPoolResource::CreateObjectInPlace","","?CreateObjectInPlace@TVertexPoolResource@Toshi@@CGPAVTObject@2@PAX@Z"
"Ordinal_104","1000a630","Function","0","Toshi::TVertexPoolResource::CreateObject","","Ordinal_104"
"CreateObject","1000a630","Function","0","Toshi::TVertexPoolResource::CreateObject","TObject *","TObject * CreateObject(void)"
"?CreateObject@TVertexPoolResource@Toshi@@CGPAVTObject@2@XZ","1000a630","Function","0","Toshi::TVertexPoolResource::CreateObject","","?CreateObject@TVertexPoolResource@Toshi@@CGPAVTObject@2@XZ"
"Ordinal_160","1000a660","Function","1","Toshi::TVertexPoolResource::GetClass","","Ordinal_160"
"GetClass","1000a660","Function","1","Toshi::TVertexPoolResource::GetClass","TClass *","TClass * GetClass(TVertexPoolResource * this)"
"?GetClass@TVertexPoolResource@Toshi@@UBEAAVTClass@2@XZ","1000a660","Function","1","Toshi::TVertexPoolResource::GetClass","","?GetClass@TVertexPoolResource@Toshi@@UBEAAVTClass@2@XZ"
"FUN_1000a7b0","1000a7b0","Function","2","FUN_1000a7b0","undefined * *","undefined * * FUN_1000a7b0(void * this\, int param_1)"
"Ordinal_2","1000a830","Function","1","Toshi::TIndexBlockResource::TIndexBlockResource","","Ordinal_2"
"TIndexBlockResource","1000a830","Function","1","Toshi::TIndexBlockResource::TIndexBlockResource","undefined","undefined TIndexBlockResource(TIndexBlockResource * this)"
"??0TIndexBlockResource@Toshi@@QAE@XZ","1000a830","Function","1","Toshi::TIndexBlockResource::TIndexBlockResource","","??0TIndexBlockResource@Toshi@@QAE@XZ"
