"Name","Location","Type","Param Count","Function Name","Data Type","Preview"
"Ordinal_17","10001380","Function","1","Toshi::TApplication::ToggleConsole","","Ordinal_17"
"ToggleConsole","10001380","Function","1","Toshi::TApplication::ToggleConsole","bool","bool ToggleConsole(TApplication * this)"
"?ToggleConsole@TApplication@Toshi@@QAE_NXZ","10001380","Function","1","Toshi::TApplication::ToggleConsole","","?ToggleConsole@TApplication@Toshi@@QAE_NXZ"
"Ordinal_13","100013b0","Function","1","Toshi::TApplication::OnDestroy","","Ordinal_13"
"OnDestroy","100013b0","Function","1","Toshi::TApplication::OnDestroy","bool","bool OnDestroy(TApplication * this)"
"?OnDestroy@TApplication@Toshi@@UAE_NXZ","100013b0","Function","1","Toshi::TApplication::OnDestroy","","?OnDestroy@TApplication@Toshi@@UAE_NXZ"
"Ordinal_14","100013c0","Function","2","Toshi::TApplication::OnUpdate","","Ordinal_14"
"OnUpdate","100013c0","Function","2","Toshi::TApplication::OnUpdate","bool","bool OnUpdate(TApplication * this\, float param_1)"
"?OnUpdate@TApplication@Toshi@@UAE_NM@Z","100013c0","Function","2","Toshi::TApplication::OnUpdate","","?OnUpdate@TApplication@Toshi@@UAE_NM@Z"
"Ordinal_12","100013e0","Function","3","Toshi::TApplication::OnCreate","","Ordinal_12"
"OnCreate","100013e0","Function","3","Toshi::TApplication::OnCreate","bool","bool OnCreate(TApplication * this\, int param_1\, char * * param_2)"
"?OnCreate@TApplication@Toshi@@UAE_NHQAPAD@Z","100013e0","Function","3","Toshi::TApplication::OnCreate","","?OnCreate@TApplication@Toshi@@UAE_NHQAPAD@Z"
"Ordinal_11","10001400","Function","1","Toshi::TApplication::IsCreated","","Ordinal_11"
"IsCreated","10001400","Function","1","Toshi::TApplication::IsCreated","bool","bool IsCreated(TApplication * this)"
"?IsCreated@TApplication@Toshi@@QAE_NXZ","10001400","Function","1","Toshi::TApplication::IsCreated","","?IsCreated@TApplication@Toshi@@QAE_NXZ"
"Ordinal_7","10001410","Function","1","Toshi::TApplication::Destroy","","Ordinal_7"
"Destroy","10001410","Function","1","Toshi::TApplication::Destroy","void","void Destroy(TApplication * this)"
"?Destroy@TApplication@Toshi@@QAEXXZ","10001410","Function","1","Toshi::TApplication::Destroy","","?Destroy@TApplication@Toshi@@QAEXXZ"
"Ordinal_4","10001420","Function","2","Toshi::TApplication::operator=","","Ordinal_4"
"operator=","10001420","Function","2","Toshi::TApplication::operator=","TApplication *","TApplication * operator=(TApplication * this\, TApplication * param_1)"
"??4TApplication@Toshi@@QAEAAV01@AAV01@@Z","10001420","Function","2","Toshi::TApplication::operator=","","??4TApplication@Toshi@@QAEAAV01@AAV01@@Z"
"Ordinal_1","10001490","Function","2","Toshi::TApplication::TApplication","","Ordinal_1"
"TApplication","10001490","Function","2","Toshi::TApplication::TApplication","undefined","undefined TApplication(TApplication * this\, TApplication * param_1)"
"??0TApplication@Toshi@@QAE@ABV01@@Z","10001490","Function","2","Toshi::TApplication::TApplication","","??0TApplication@Toshi@@QAE@ABV01@@Z"
"Ordinal_10","100014f0","Function","1","Toshi::TApplication::GetKernel","","Ordinal_10"
"GetKernel","100014f0","Function","1","Toshi::TApplication::GetKernel","TKernelInterface *","TKernelInterface * GetKernel(TApplication * this)"
"?GetKernel@TApplication@Toshi@@QAEPAVTKernelInterface@2@XZ","100014f0","Function","1","Toshi::TApplication::GetKernel","","?GetKernel@TApplication@Toshi@@QAEPAVTKernelInterface@2@XZ"
"Ordinal_15","10001500","Function","2","Toshi::TApplication::SetVerbose","","Ordinal_15"
"SetVerbose","10001500","Function","2","Toshi::TApplication::SetVerbose","void","void SetVerbose(TApplication * this\, bool param_1)"
"?SetVerbose@TApplication@Toshi@@QAEX_N@Z","10001500","Function","2","Toshi::TApplication::SetVerbose","","?SetVerbose@TApplication@Toshi@@QAEX_N@Z"
"FUN_100015c0","100015c0","Function","2","FUN_100015c0","undefined4","undefined4 FUN_100015c0(undefined4 param_1\, int param_2)"
"entry","1000166b","Function","3","entry","int","int entry(HMODULE param_1\, int param_2\, undefined4 param_3)"
"_initterm","1000170e","Thunk Function","0","MSVCRT.DLL::_initterm","undefined","undefined _initterm()"
"FUN_10001758","10001758","Function","2","FUN_10001758","undefined4","undefined4 FUN_10001758(HMODULE param_1\, int param_2)"
"??_7TApplication@Toshi@@6B@","10004000","Data Label","","","undefined *","??_7TApplication@Toshi@@6B@"
"Ordinal_5","10004000","Data Label","","","undefined *","Ordinal_5"
"`vftable'","10004000","Data Label","","","undefined *","`vftable'"
"ExceptionList","ffdff000","Data Label","","","void *","ExceptionList"
"StackBase","ffdff004","Data Label","","","void *","StackBase"
"StackLimit","ffdff008","Data Label","","","void *","StackLimit"
"SubSystemTib","ffdff00c","Data Label","","","void *","SubSystemTib"
"FiberData","ffdff010","Data Label","","","void *","FiberData"
