"Name","Location","FunctionSignature","FunctionSize"
"Lock","1000cab0","bool Lock(TTextureResourceHAL * this\, LOCKSTATE * param_1)","87"
"Unlock","1000cb10","void Unlock(TTextureResourceHAL * this)","125"
"Create","1000cb90","bool Create(TTextureResourceHAL * this\, void * param_1\, uint param_2\, uint param_3\, uint param_4\, uint param_5)","132"
"CreateEx","1000cc20","bool CreateEx(TTextureResourceHAL * this\, void * param_1\, uint param_2\, uint param_3\, uint param_4\, uint param_5\, TTEXTURERESOURCEFORMAT param_6\, uint param_7)","139"
"IsPPM","1000ccb0","bool IsPPM(TTextureResourceHAL * this\, char * param_1)","54"
"CreateFromMemory5551","1000ccf0","bool CreateFromMemory5551(TTextureResourceHAL * this\, uint param_1\, uint param_2\, uint param_3\, void * param_4)","506"
"CreateFromMemory4444","1000cef0","bool CreateFromMemory4444(TTextureResourceHAL * this\, uint param_1\, uint param_2\, uint param_3\, void * param_4)","506"
"CreateFromMemory8888","1000d0f0","bool CreateFromMemory8888(TTextureResourceHAL * this\, uint a_uiWidth\, uint a_uiHeight\, uint m_uiLevels\, void * a_pData)","596"
"CreateFromMemory888","1000d350","bool CreateFromMemory888(TTextureResourceHAL * this\, uint param_1\, uint param_2\, uint param_3\, void * param_4)","268"
"CreateFromMemoryDDS","1000d460","bool CreateFromMemoryDDS(TTextureResourceHAL * this\, uint param_1\, uint param_2\, uint param_3\, void * param_4)","159"
"CreateFromFormat","1000d500","bool CreateFromFormat(TTextureResourceHAL * this)","221"
"CreateFromPPMFile","1000d670","bool CreateFromPPMFile(TTextureResourceHAL * this\, char * param_1)","45"
"Create","1000d6a0","bool Create(TTextureResourceHAL * this\, char * param_1\, uint param_2)","63"
"GetHeight","1000d6e0","int GetHeight(TTextureResourceHAL * this)","15"
"GetWidth","1000d6f0","int GetWidth(TTextureResourceHAL * this)","15"
"DestroyResource","1000d700","void DestroyResource(TTextureResourceHAL * this)","7"
"~TTextureResourceHAL","1000d710","void ~TTextureResourceHAL(TTextureResourceHAL * this)","13"
"DeinitialiseStatic","1000d720","void DeinitialiseStatic(void)","1"
"InitialiseStatic","1000d730","void InitialiseStatic(void)","1"
"CreateObjectInPlace","1000d740","TObject * CreateObjectInPlace(void * param_1)","26"
"CreateObject","1000d760","TObject * CreateObject(void)","38"
"GetClass","1000d790","TClass * GetClass(TTextureResourceHAL * this)","6"
"Direct3DCreate8","1000d84e","thunk undefined Direct3DCreate8()","6"
"FUN_1000d854","1000d854","undefined4 * FUN_1000d854(void * this\, byte param_1)","28"
"FUN_1000d870","1000d870","undefined4 * FUN_1000d870(void * this\, byte param_1)","28"
"FUN_1000d88c","1000d88c","undefined4 * FUN_1000d88c(void * this\, byte param_1)","28"
"FUN_1000d8a8","1000d8a8","undefined4 * FUN_1000d8a8(void * this\, byte param_1)","28"
"FUN_1000d8c4","1000d8c4","uint FUN_1000d8c4(LPCWSTR param_1\, undefined4 param_2\, undefined4 * param_3\, undefined4 * param_4\, undefined4 * param_5)","140"
"FUN_1000d950","1000d950","uint FUN_1000d950(LPCWSTR param_1\, undefined4 param_2\, undefined4 * param_3\, undefined4 * param_4\, undefined4 * param_5)","201"
"FUN_1000da19","1000da19","uint FUN_1000da19(HMODULE param_1\, undefined4 param_2\, undefined4 param_3\, undefined4 * param_4\, undefined4 * param_5\, undefined4 * param_6)","142"
"FUN_1000daa7","1000daa7","uint FUN_1000daa7(HMODULE param_1\, undefined4 param_2\, undefined4 param_3\, undefined4 * param_4\, undefined4 * param_5\, undefined4 * param_6)","143"
"FUN_1000db36","1000db36","uint FUN_1000db36(undefined4 param_1\, undefined4 param_2\, undefined4 param_3\, undefined4 param_4\, undefined4 param_5\, undefined4 param_6)","100"
"FUN_1000db9a","1000db9a","undefined4 FUN_1000db9a(char * param_1\, char * param_2\, size_t param_3)","623"
"FUN_1000de09","1000de09","int FUN_1000de09(char * param_1\, LPWSTR param_2\, size_t param_3)","91"
"FUN_1000de64","1000de64","int FUN_1000de64(int * param_1\, LOGFONTA * param_2\, void * * param_3)","111"
"FUN_1000ded3","1000ded3","int FUN_1000ded3(int * param_1\, void * * param_2)","108"
"FUN_1000df3f","1000df3f","int FUN_1000df3f(int * param_1\, undefined4 param_2\, undefined4 param_3\, undefined4 param_4\, undefined4 param_5\, undefined4 param_6\, void * * param_7)","124"
"FUN_1000dfbb","1000dfbb","int FUN_1000dfbb(int * param_1\, uint param_2\, undefined4 param_3\, undefined4 param_4\, undefined4 param_5\, undefined4 * param_6)","126"
"FUN_1000e039","1000e039","int FUN_1000e039(int * param_1\, HANDLE param_2\, void * * param_3)","51"
"FUN_1000e06c","1000e06c","int * FUN_1000e06c(int param_1)","36"
"FUN_1000e090","1000e090","uint FUN_1000e090(int param_1\, int param_2)","117"
"FUN_1000e105","1000e105","int FUN_1000e105(int * param_1\, int param_2\, int * param_3)","110"
"FUN_1000e173","1000e173","int FUN_1000e173(int * param_1\, undefined4 param_2\, undefined4 param_3\, int * param_4)","226"
"FUN_1000e255","1000e255","int FUN_1000e255(int param_1)","49"
"FUN_1000e286","1000e286","int FUN_1000e286(uint * param_1\, int * param_2\, int * param_3)","56"
"FUN_1000e2ce","1000e2ce","int FUN_1000e2ce(int * param_1\, undefined4 param_2\, uint * param_3\, int param_4\, undefined4 param_5\, undefined4 param_6\, undefined4 param_7\, undefined4 * param_8\, int * param_9\, undefined4 param_10)","223"
"FUN_1000e3ad","1000e3ad","int FUN_1000e3ad(void)","176"
"FUN_1000e460","1000e460","undefined FUN_1000e460(undefined4 param_1\, undefined4 param_2\, undefined4 param_3\, undefined4 param_4\, undefined4 param_5)","32"
"RFX_Text_Bulk","1000e480","undefined RFX_Text_Bulk(undefined4 param_1\, undefined4 param_2\, undefined4 param_3\, undefined4 param_4\, undefined4 param_5)","32"
"FUN_1000e4b9","1000e4b9","int FUN_1000e4b9(int * param_1\, undefined4 param_2\, uint * param_3\, int param_4\, undefined4 param_5\, undefined4 param_6\, undefined4 param_7\, undefined4 param_8\, undefined4 * param_9\, int * param_10\, undefined4 param_11)","211"
"FUN_1000e58c","1000e58c","int FUN_1000e58c(void)","176"
"FUN_1000e63c","1000e63c","undefined FUN_1000e63c(undefined4 param_1\, undefined4 param_2\, undefined4 param_3\, undefined4 param_4\, undefined4 param_5)","32"
"RFX_Text_Bulk","1000e65c","undefined RFX_Text_Bulk(undefined4 param_1\, undefined4 param_2\, undefined4 param_3\, undefined4 param_4\, undefined4 param_5)","32"
"FUN_1000e67c","1000e67c","undefined4 FUN_1000e67c(undefined4 param_1\, uint param_2\, int * param_3\, uint * param_4\, uint * param_5\, uint * param_6\, uint * param_7\, int * param_8\, int param_9\, int param_10)","810"
"FUN_1000e9a6","1000e9a6","undefined FUN_1000e9a6(void * this\, int * param_1\, uint * param_2\, uint * param_3\, uint * param_4\, uint param_5\, int * param_6\, int param_7)","40"
"FUN_1000e9ce","1000e9ce","undefined FUN_1000e9ce(void * this\, int * param_1\, uint * param_2\, uint * param_3\, uint param_4\, int * param_5\, int param_6)","40"
"FUN_1000e9f6","1000e9f6","undefined FUN_1000e9f6(void * this\, int * param_1\, uint * param_2\, uint * param_3\, uint * param_4\, uint * param_5\, uint param_6\, int * param_7\, int param_8)","41"
"FUN_1000ea1f","1000ea1f","int FUN_1000ea1f(void * this\, int * param_1\, uint param_2\, uint param_3\, uint param_4\, uint param_5\, int param_6\, int param_7\, int param_8)","102"
"FUN_1000ea85","1000ea85","int FUN_1000ea85(void * this\, int * param_1\, uint param_2\, uint param_3\, uint param_4\, int param_5\, int param_6\, int param_7)","95"
"FUN_1000eae4","1000eae4","int FUN_1000eae4(void * this\, int * param_1\, uint param_2\, uint param_3\, uint param_4\, uint param_5\, uint param_6\, int param_7\, int param_8\, int param_9)","109"
"FUN_1000eb51","1000eb51","undefined FUN_1000eb51(float * param_1\, float * param_2\, float * param_3)","76"
"`vector_deleting_destructor'","1000eb9d","void * `vector_deleting_destructor'(CODBCFieldInfo * this\, uint param_1)","75"
"FID_conflict:`vector_deleting_destructor'","1000ebe8","int * * FID_conflict:`vector_deleting_destructor'(void * this\, byte param_1)","75"
"`vector_constructor_iterator'","1000ec33","void `vector_constructor_iterator'(void * param_1\, uint param_2\, int param_3\, FuncDef17 * param_4)","34"
"FUN_1000fdbd","1000fdbd","int FUN_1000fdbd(LPCWSTR param_1\, int * param_2)","63"
"FUN_1000fdfc","1000fdfc","int FUN_1000fdfc(LPCWSTR param_1\, int * param_2)","63"
"FUN_1000fe3b","1000fe3b","int FUN_1000fe3b(HMODULE param_1\, undefined4 param_2\, int * param_3)","68"
"FUN_1000fe7f","1000fe7f","int FUN_1000fe7f(HMODULE param_1\, undefined4 param_2\, int * param_3)","68"
"FUN_1000fec3","1000fec3","int FUN_1000fec3(int * param_1\, undefined4 param_2\, uint * param_3\, uint * param_4\, int * param_5\, int * param_6\, int * param_7\, undefined4 param_8\, int * param_9)","184"
"FUN_1000ff7b","1000ff7b","int FUN_1000ff7b(int * param_1\, int * param_2\, uint * param_3\, int * param_4\, int * param_5\, uint * param_6\, int * param_7\, int param_8)","422"
"FUN_10010121","10010121","int FUN_10010121(int * param_1\, undefined4 param_2\, uint * param_3\, uint * param_4\, int * param_5\, uint * param_6\, int * param_7\, undefined4 param_8\, int * param_9)","188"
"FUN_100101dd","100101dd","int FUN_100101dd(int * param_1\, undefined4 param_2\, uint * param_3\, int * param_4\, undefined4 param_5\, uint * param_6\, int * param_7\, undefined4 param_8)","134"
"FUN_10010263","10010263","undefined4 FUN_10010263(void)","960"
"FUN_1001065d","1001065d","int * FUN_1001065d(int * param_1\, int * param_2\, uint param_3\, int * param_4)","740"
"FUN_10010b54","10010b54","int FUN_10010b54(int * param_1\, undefined4 param_2\, uint * param_3\, LPCWSTR param_4\, int * param_5\, int * param_6\, undefined4 param_7\, int * param_8)","81"
"FUN_10010ba5","10010ba5","int FUN_10010ba5(int * param_1\, undefined4 param_2\, uint * param_3\, LPCWSTR param_4\, int * param_5\, int * param_6\, undefined4 param_7\, int * param_8)","81"
"FUN_10010bf6","10010bf6","int FUN_10010bf6(int * param_1\, undefined4 param_2\, uint * param_3\, HMODULE param_4\, undefined4 param_5\, int * param_6\, int * param_7\, undefined4 param_8\, int * param_9)","86"
"FUN_10010c4c","10010c4c","int FUN_10010c4c(int * param_1\, undefined4 param_2\, uint * param_3\, HMODULE param_4\, undefined4 param_5\, int * param_6\, int * param_7\, undefined4 param_8\, int * param_9)","86"
"FUN_10010ca2","10010ca2","int FUN_10010ca2(int * param_1\, undefined4 param_2\, uint * param_3\, LPCWSTR param_4\, uint * param_5\, int * param_6\, undefined4 param_7\, int * param_8)","81"
"FUN_10010cf3","10010cf3","int FUN_10010cf3(int * param_1\, undefined4 param_2\, uint * param_3\, LPCWSTR param_4\, uint * param_5\, int * param_6\, undefined4 param_7\, int * param_8)","81"
"FUN_10010d44","10010d44","int FUN_10010d44(int * param_1\, undefined4 param_2\, uint * param_3\, HMODULE param_4\, undefined4 param_5\, uint * param_6\, int * param_7\, undefined4 param_8\, int * param_9)","86"
"FUN_10010d9a","10010d9a","int FUN_10010d9a(int * param_1\, undefined4 param_2\, uint * param_3\, HMODULE param_4\, undefined4 param_5\, uint * param_6\, int * param_7\, undefined4 param_8\, int * param_9)","86"
"FUN_10010df0","10010df0","int * FUN_10010df0(void)","1651"
"D3DXCreateTextureFromFileInMemoryEx","10011463","undefined D3DXCreateTextureFromFileInMemoryEx(undefined4 param_1\, undefined4 param_2\, undefined4 param_3\, undefined4 param_4\, undefined4 param_5\, undefined4 param_6\, undefined4 param_7\, undefined4 param_8\, undefined4 param_9\, undefined4 param_10\, undefined4 param_11\, undefined4 param_12\, undefined4 param_13\, undefined4 param_14\, undefined4 param_15)","64"
"FUN_100114a3","100114a3","undefined FUN_100114a3(undefined4 param_1\, undefined4 param_2\, undefined4 param_3\, undefined4 param_4\, undefined4 param_5\, undefined4 param_6\, undefined4 param_7\, undefined4 param_8\, undefined4 param_9\, undefined4 param_10\, undefined4 param_11\, undefined4 param_12\, undefined4 param_13\, undefined4 param_14)","64"
"FUN_100114e3","100114e3","undefined FUN_100114e3(undefined4 param_1\, undefined4 param_2\, undefined4 param_3\, undefined4 param_4\, undefined4 param_5\, undefined4 param_6\, undefined4 param_7\, undefined4 param_8\, undefined4 param_9\, undefined4 param_10\, undefined4 param_11\, undefined4 param_12\, undefined4 param_13\, undefined4 param_14\, undefined4 param_15\, undefined4 param_16)","65"
"D3DXCreateTextureFromFileInMemoryExA","10011524","int D3DXCreateTextureFromFileInMemoryExA(undefined4 param_1\, LPCWSTR param_2\, int param_3\, int param_4\, int param_5\, int param_6\, int param_7\, int param_8\, int param_9\, int param_10\, int param_11\, int param_12\, int param_13\, IDirect3DTexture8 * * param_14)","99"
"FUN_10011587","10011587","int FUN_10011587(undefined4 param_1\, LPCWSTR param_2)","99"
"FUN_100115ea","100115ea","int FUN_100115ea(undefined4 param_1\, HMODULE param_2\, undefined4 param_3)","104"
"FUN_10011652","10011652","int FUN_10011652(undefined4 param_1\, HMODULE param_2\, undefined4 param_3)","104"
"FUN_100116ea","100116ea","int FUN_100116ea(undefined4 param_1\, LPCWSTR param_2)","96"
"FUN_1001174a","1001174a","int FUN_1001174a(undefined4 param_1\, LPCWSTR param_2)","96"
"FUN_100117aa","100117aa","int FUN_100117aa(undefined4 param_1\, HMODULE param_2\, undefined4 param_3)","101"
"FUN_1001180f","1001180f","int FUN_1001180f(undefined4 param_1\, HMODULE param_2\, undefined4 param_3)","101"
"FUN_100118a4","100118a4","int FUN_100118a4(undefined4 param_1\, LPCWSTR param_2)","102"
"FUN_1001190a","1001190a","int FUN_1001190a(undefined4 param_1\, LPCWSTR param_2)","102"
"FUN_10011970","10011970","int FUN_10011970(undefined4 param_1\, HMODULE param_2\, undefined4 param_3)","107"
"FUN_100119db","100119db","int FUN_100119db(undefined4 param_1\, HMODULE param_2\, undefined4 param_3)","107"
"FUN_10011c4c","10011c4c","undefined FUN_10011c4c(undefined4 * param_1)","58"
"FUN_10011c93","10011c93","int FUN_10011c93(void * this\, int * param_1\, LOGFONTA * param_2)","94"
"FUN_10011cf1","10011cf1","bool FUN_10011cf1(int * param_1\, int * param_2)","23"
"FUN_10011d2e","10011d2e","undefined4 FUN_10011d2e(int param_1\, undefined4 * param_2)","36"
"FUN_10011d70","10011d70","undefined FUN_10011d70(int param_1\, uint * param_2\, uint param_3\, int * param_4\, UINT param_5\, undefined4 param_6)","38"
"FUN_10011d96","10011d96","undefined FUN_10011d96(int param_1\, uint * param_2\, uint param_3\, int * param_4\, UINT param_5\, undefined4 param_6)","38"
"FUN_10011ddd","10011ddd","undefined4 FUN_10011ddd(int * param_1\, int * param_2\, int * * param_3)","68"
"FUN_10011e39","10011e39","undefined FUN_10011e39(undefined4 * param_1)","27"
"FUN_10011e54","10011e54","undefined FUN_10011e54(undefined4 * param_1)","64"
"FUN_10011ea1","10011ea1","undefined4 FUN_10011ea1(void * this\, int * param_1)","117"
"FUN_10012051","10012051","undefined4 FUN_10012051(int * param_1\, int * param_2\, int * * param_3)","68"
"FUN_100120ad","100120ad","undefined4 FUN_100120ad(uint param_1)","1084"
"FUN_100124e9","100124e9","undefined FUN_100124e9(int * param_1\, undefined4 param_2\, undefined4 param_3\, undefined4 * param_4\, undefined4 * param_5\, float param_6\, undefined4 * param_7\, undefined4 param_8)","215"
"FUN_10012993","10012993","undefined FUN_10012993(undefined4 * param_1)","30"
"FUN_100129b1","100129b1","undefined4 FUN_100129b1(void * this\, int * param_1\, undefined4 param_2\, undefined4 param_3\, undefined4 param_4\, undefined4 param_5\, undefined4 param_6)","79"
"FUN_10012a0d","10012a0d","bool FUN_10012a0d(int * param_1\, int * param_2)","1"
"FUN_10012a4a","10012a4a","undefined4 FUN_10012a4a(int param_1\, undefined4 * param_2)","36"
"FUN_10012a6e","10012a6e","int FUN_10012a6e(int param_1\, int * param_2\, int * param_3)","570"
"FUN_10012ca8","10012ca8","undefined4 FUN_10012ca8(int param_1)","184"
"FUN_10012d60","10012d60","undefined4 FUN_10012d60(int param_1)","118"
"FUN_10012dde","10012dde","undefined FUN_10012dde(undefined4 * param_1)","34"
"FUN_10012e00","10012e00","undefined4 FUN_10012e00(int * param_1\, int * param_2\, int * * param_3)","71"
"FUN_10012e47","10012e47","undefined FUN_10012e47(undefined4 * param_1)","39"
"FUN_10012e8d","10012e8d","undefined4 FUN_10012e8d(void * this\, int * param_1\, uint param_2\, uint param_3\, undefined4 param_4\, undefined4 param_5\, undefined4 param_6)","134"
"FUN_10012f13","10012f13","undefined4 FUN_10012f13(int param_1)","127"
"FUN_10012f92","10012f92","int FUN_10012f92(void * this\, undefined4 param_1)","343"
"FUN_100130e9","100130e9","undefined4 FUN_100130e9(int * param_1\, int * param_2\, int * * param_3)","71"
"FUN_10013163","10013163","undefined4 FUN_10013163(int param_1\, undefined4 * param_2)","35"
"FUN_10013186","10013186","int FUN_10013186(int param_1\, int * param_2)","112"
"FUN_100131f6","100131f6","int FUN_100131f6(int param_1\, int * param_2)","132"
"FUN_1001327a","1001327a","int FUN_1001327a(int param_1\, int * param_2\, int * param_3)","213"
"FUN_1001334f","1001334f","int FUN_1001334f(int param_1\, int * param_2\, int * param_3)","213"
"FUN_10013424","10013424","undefined4 FUN_10013424(int param_1)","290"
"FUN_100135b2","100135b2","undefined FUN_100135b2(float * param_1\, float * param_2\, int param_3\, int param_4)","173"
"FUN_1001365f","1001365f","undefined FUN_1001365f(float * param_1\, float * param_2\, float * param_3\, float param_4)","40"
"FUN_10013687","10013687","undefined FUN_10013687(float * param_1\, float * param_2\, float * param_3\, float param_4)","55"
"FUN_100136c1","100136c1","undefined FUN_100136c1(undefined4 * param_1)","34"
"FUN_100136e3","100136e3","int FUN_100136e3(int param_1)","3892"
"FUN_10014617","10014617","undefined4 * FUN_10014617(undefined4 * param_1)","104"
"FUN_1001469e","1001469e","int FUN_1001469e(void * this\, int param_1)","1421"
"FUN_10014c2b","10014c2b","int FUN_10014c2b(int * param_1)","177"
"FUN_10014cff","10014cff","int FUN_10014cff(int * param_1)","227"
"FUN_10014de2","10014de2","undefined FUN_10014de2(undefined4 * param_1)","18"
"Open","10014df4","undefined4 Open(void * this\, LPCWSTR param_1\, int param_2)","272"
"FUN_10014f04","10014f04","undefined4 FUN_10014f04(void * this\, LPCWSTR param_1\, int param_2)","202"
"FUN_1001500f","1001500f","undefined4 FUN_1001500f(HANDLE * param_1)","76"
"FUN_1001501a","1001501a","undefined4 * FUN_1001501a(void)","169"
"FUN_100150c3","100150c3","undefined FUN_100150c3(void)","143"
"FUN_10015152","10015152","undefined FUN_10015152(int param_1\, char * param_2)","310"
"FUN_10015288","10015288","undefined4 FUN_10015288(int param_1)","1815"
"FUN_1001599f","1001599f","uint FUN_1001599f(void * this\, char * param_1)","169"
"FUN_10015a48","10015a48","uint FUN_10015a48(void * this\, char * param_1)","161"
"FUN_10015ae9","10015ae9","uint FUN_10015ae9(void * this\, char * param_1\, uint param_2\, int param_3)","929"
"FUN_10015e8a","10015e8a","undefined FUN_10015e8a(void * this\, uint param_1\, undefined4 * param_2)","169"
"FUN_10015f33","10015f33","undefined FUN_10015f33(uint param_1)","214"
"FUN_10016009","10016009","undefined FUN_10016009(undefined4 * param_1)","375"
"FUN_10016180","10016180","undefined4 * FUN_10016180(int param_1)","1304"
"FUN_10016698","10016698","undefined FUN_10016698(void * this\, float param_1)","2188"
"FUN_10016fcf","10016fcf","undefined4 FUN_10016fcf(void)","1013"
"FUN_10017488","10017488","uint FUN_10017488(void)","1219"
"FUN_1001794b","1001794b","undefined FUN_1001794b(undefined4 * param_1)","13"
"FUN_10017958","10017958","undefined FUN_10017958(HGDIOBJ * param_1)","14"
"FUN_10017966","10017966","undefined4 FUN_10017966(HGDIOBJ * param_1)","31"
"FUN_10017985","10017985","undefined4 FUN_10017985(void * this\, HMODULE param_1\, undefined4 param_2\, int param_3\, int param_4)","142"
"FUN_10017a13","10017a13","undefined FUN_10017a13(undefined4 param_1)","144"
"FUN_10017aa3","10017aa3","undefined FUN_10017aa3(undefined4 * param_1)","25"
"FUN_10017abc","10017abc","undefined FUN_10017abc(int param_1)","89"
"FUN_10017b15","10017b15","void * FUN_10017b15(void * this\, byte param_1)","28"
"FUN_10017b31","10017b31","undefined4 FUN_10017b31(void * this\, int * param_1)","195"
"FUN_10017bf4","10017bf4","undefined4 FUN_10017bf4(void * this\, uint * param_1\, uint param_2)","1814"
"FUN_1001830a","1001830a","undefined4 FUN_1001830a(void * this\, HANDLE param_1\, DWORD param_2)","740"
"FUN_100185ee","100185ee","undefined FUN_100185ee(int * param_1)","1"
"FUN_1001860b","1001860b","undefined FUN_1001860b(int * param_1)","29"
"FUN_10018650","10018650","undefined4 FUN_10018650(undefined4 param_1\, undefined4 param_2)","624"
"FUN_100188c0","100188c0","undefined4 FUN_100188c0(void * this\, uint * param_1\, uint param_2)","1191"
"FUN_10018d67","10018d67","uint FUN_10018d67(void * this\, uint * param_1\, uint param_2)","646"
"FUN_1001903d","1001903d","undefined4 FUN_1001903d(int param_1\, uint param_2)","1430"
"FUN_100195d3","100195d3","undefined4 FUN_100195d3(void * this\, int * param_1\, int * param_2)","833"
"FUN_10019914","10019914","undefined4 FUN_10019914(void * this\, HANDLE param_1)","680"
"FUN_10019bbc","10019bbc","int FUN_10019bbc(void)","713"
"FUN_10019e85","10019e85","undefined4 FUN_10019e85(void * this\, short * param_1\, uint param_2)","48"
"FUN_10019eb5","10019eb5","undefined4 FUN_10019eb5(void * this\, uint * param_1\, int * param_2\, int * param_3\, int param_4)","469"
"FUN_1001a08a","1001a08a","undefined FUN_1001a08a(undefined4 * param_1)","10"
"FUN_1001a094","1001a094","undefined FUN_1001a094(int * param_1)","30"
"FUN_1001a0d9","1001a0d9","int * FUN_1001a0d9(uint param_1\, int param_2\, int param_3)","701"
"FUN_1001a396","1001a396","void * * FUN_1001a396(void * this\, byte param_1)","76"
"FUN_1001a3e2","1001a3e2","undefined4 FUN_1001a3e2(void)","1140"
"FUN_1001a856","1001a856","undefined4 FUN_1001a856(int * param_1)","398"
"FUN_1001a9ea","1001a9ea","undefined4 FUN_1001a9ea(uint * param_1\, uint param_2\, int param_3\, uint param_4\, int param_5\, int param_6)","294"
"FUN_1001ab30","1001ab30","undefined FUN_1001ab30(int * param_1)","49"
"FUN_1001ab61","1001ab61","undefined4 FUN_1001ab61(uint * param_1\, uint param_2\, int param_3\, uint param_4\, int param_5\, int param_6)","232"
"FUN_1001ac49","1001ac49","undefined4 FUN_1001ac49(undefined8 * param_1\, undefined8 * param_2\, uint param_3\, uint param_4\, int param_5\, int param_6)","278"
"FUN_1001ad8b","1001ad8b","undefined FUN_1001ad8b(void)","56"
"FUN_1001adef","1001adef","undefined FUN_1001adef(void)","47"
"FUN_1001ae1e","1001ae1e","undefined FUN_1001ae1e(int * param_1)","49"
"FUN_1001ae4f","1001ae4f","undefined4 FUN_1001ae4f(int * param_1)","336"
"FUN_1001af9f","1001af9f","undefined4 FUN_1001af9f(int * param_1)","292"
"FUN_1001b0c3","1001b0c3","undefined4 FUN_1001b0c3(int * param_1)","335"
"FUN_1001b212","1001b212","undefined4 FUN_1001b212(int * param_1)","339"
"FUN_1001b365","1001b365","undefined4 FUN_1001b365(int * param_1)","319"
"FUN_1001b4a4","1001b4a4","undefined4 FUN_1001b4a4(int * param_1)","155"
"FUN_1001b53f","1001b53f","undefined4 FUN_1001b53f(int * param_1)","332"
"FUN_1001b68b","1001b68b","undefined4 FUN_1001b68b(int * param_1)","289"
"FUN_1001b7b8","1001b7b8","undefined4 FUN_1001b7b8(int * param_1)","332"
"FUN_1001b904","1001b904","undefined4 FUN_1001b904(int * param_1)","319"
"FUN_1001ba85","1001ba85","undefined4 FUN_1001ba85(int * param_1)","312"
"FUN_1001bbbd","1001bbbd","undefined4 FUN_1001bbbd(void)","241"
"FUN_1001bcae","1001bcae","undefined4 FUN_1001bcae(void)","514"
"FUN_1001beb0","1001beb0","undefined4 FUN_1001beb0(void)","516"
"FUN_1001c0b4","1001c0b4","undefined4 FUN_1001c0b4(void)","1027"
"FUN_1001c4d7","1001c4d7","undefined4 FUN_1001c4d7(void)","1170"
"FUN_1001c969","1001c969","uint * FUN_1001c969(int param_1)","256"
"FUN_1001ca69","1001ca69","undefined4 FUN_1001ca69(void)","998"
"FUN_1001ce4f","1001ce4f","undefined4 FUN_1001ce4f(void)","1841"
"FUN_1001d580","1001d580","undefined4 FUN_1001d580(void)","930"
"FUN_1001d922","1001d922","int FUN_1001d922(void * this\, int param_1\, undefined4 param_2\, int * param_3)","282"
"FUN_1001da3c","1001da3c","undefined FUN_1001da3c(undefined4 * param_1)","16"
"FUN_1001da4c","1001da4c","undefined4 FUN_1001da4c(byte * param_1)","105"
"FUN_1001dab5","1001dab5","undefined FUN_1001dab5(undefined4 * param_1)","6"
"FUN_1001dabb","1001dabb","undefined4 FUN_1001dabb(int * * param_1)","22"
"thunk_FUN_1001da4c","1001dad1","thunk undefined4 thunk_FUN_1001da4c(byte * param_1)","5"
"FUN_1001dad6","1001dad6","int FUN_1001dad6(void * this\, undefined4 * param_1\, int * param_2\, undefined4 param_3\, uint * param_4\, undefined4 param_5\, uint param_6)","1043"
"thunk_FUN_1001dabb","1001dee9","thunk undefined4 thunk_FUN_1001dabb(int * * param_1)","5"
"FUN_1001deee","1001deee","int FUN_1001deee(void * this\, undefined4 * param_1\, int * param_2\, undefined4 param_3\, uint * param_4\, undefined4 param_5\, uint param_6)","859"
"FUN_1001e249","1001e249","undefined FUN_1001e249(undefined4 * param_1)","19"
"FUN_1001e262","1001e262","undefined4 FUN_1001e262(void * this\, int param_1)","759"
"FUN_1001e559","1001e559","undefined FUN_1001e559(void * this\, uint param_1)","85"
"FUN_1001e61b","1001e61b","undefined FUN_1001e61b(void)","160"
"FUN_1001e6bb","1001e6bb","undefined FUN_1001e6bb(void)","1018"
"FUN_1001eab5","1001eab5","undefined FUN_1001eab5(void)","35"
"FUN_1001eaf7","1001eaf7","undefined4 * FUN_1001eaf7(void * this\, undefined4 * param_1\, uint param_2\, undefined4 param_3)","588"
"FUN_1001ed43","1001ed43","undefined4 * FUN_1001ed43(void * this\, byte param_1)","28"
"FUN_1001ed5f","1001ed5f","undefined4 FUN_1001ed5f(void)","123"
"FUN_1001edda","1001edda","undefined FUN_1001edda(int * param_1)","204"
"FUN_1001eea6","1001eea6","undefined FUN_1001eea6(void * this\, uint param_1)","112"
"FUN_1001ef16","1001ef16","undefined FUN_1001ef16(void * this\, uint param_1\, uint param_2\, int param_3)","236"
"FUN_1001f002","1001f002","undefined FUN_1001f002(void * this\, uint param_1\, uint param_2\, int param_3)","291"
"FUN_1001f125","1001f125","undefined FUN_1001f125(void * this\, uint param_1\, uint param_2\, int param_3)","257"
"FUN_1001f226","1001f226","undefined FUN_1001f226(void * this\, uint param_1\, uint param_2\, int param_3)","257"
"FUN_1001f327","1001f327","undefined FUN_1001f327(void * this\, uint param_1\, uint param_2\, int param_3)","257"
"FUN_1001f428","1001f428","undefined FUN_1001f428(void * this\, uint param_1\, uint param_2\, int param_3)","285"
"FUN_1001f545","1001f545","undefined FUN_1001f545(void * this\, uint param_1\, uint param_2\, int param_3)","291"
"FUN_1001f668","1001f668","undefined FUN_1001f668(void * this\, uint param_1\, uint param_2\, int param_3)","254"
"FUN_1001f766","1001f766","undefined FUN_1001f766(void * this\, uint param_1\, uint param_2\, int param_3)","169"
"FUN_1001f80f","1001f80f","undefined FUN_1001f80f(void * this\, uint param_1\, uint param_2\, int param_3)","291"
"FUN_1001f932","1001f932","undefined FUN_1001f932(void * this\, uint param_1\, uint param_2\, int param_3)","257"
