"Name","Location","FunctionSignature","FunctionSize"
"SetAmbient","10004270","void SetAmbient(TRenderPacket * this\, TVector3 * param_1)","24"
"GetModelViewMatrix","10004290","TMatrix44 * GetModelViewMatrix(TRenderPacket * this)","6"
"GetMesh","100042a0","TMesh * GetMesh(TRenderPacket * this)","4"
"GetRegMat","100042b0","TRegMaterial * GetRegMat(TRenderPacket * this)","4"
"GetNext","100042c0","TRenderPacket * GetNext(TRenderPacket * this)","3"
"GetNexUsedMaterial","100042d0","TRegMaterial * GetNexUsedMaterial(TRegMaterial * this)","4"
"GetRenderPackets","100042e0","TRenderPacket * GetRenderPackets(TRegMaterial * this)","4"
"GetMaterial","100042f0","TMaterial * GetMaterial(TRegMaterial * this)","4"
"GetOrderTable","10004300","TOrderTable * GetOrderTable(TRegMaterial * this)","4"
"GetFlags","10004310","uint GetFlags(TRegMaterial * this)","4"
"GetNumRendPackets","10004320","uint GetNumRendPackets(TOrderTable * this)","4"
"GetMaxRendPackets","10004330","uint GetMaxRendPackets(TOrderTable * this)","4"
"GetNumMaterials","10004340","uint GetNumMaterials(TOrderTable * this)","4"
"GetMaxMaterials","10004350","uint GetMaxMaterials(TOrderTable * this)","4"
"GetShader","10004360","TShader * GetShader(TOrderTable * this)","3"
"Create","100043f0","bool Create(TRenderCaptureD3D * this\, FORMAT param_1\, int param_2\, int param_3)","95"
"Request","10004450","bool Request(TRenderCaptureD3D * this)","828"
"ObtainBuffer","10004790","void * ObtainBuffer(TRenderCaptureD3D * this)","70"
"ReleaseBuffer","100047e0","void ReleaseBuffer(TRenderCaptureD3D * this)","34"
"Poll","10004810","bool Poll(TRenderCaptureD3D * this)","11"
"Wait","10004820","bool Wait(TRenderCaptureD3D * this)","6"
"Destroy","10004830","void Destroy(TRenderCaptureD3D * this)","6"
"~TRenderCaptureD3D","10004840","void ~TRenderCaptureD3D(TRenderCaptureD3D * this)","25"
"TRenderCaptureD3D","10004860","undefined TRenderCaptureD3D(TRenderCaptureD3D * this)","20"
"GetD3DTexture","10004880","IDirect3DTexture8 * GetD3DTexture(TTextureResourceHAL * this)","4"
"GetRenderer","10004890","TRenderD3DInterface * GetRenderer(TTextureResourceHAL * this)","7"
"GetFreeList","100048a0","TFreeList * GetFreeList(void)","6"
"operator_delete","100048b0","void operator_delete(void * param_1)","19"
"operator_new","100048d0","void * operator_new(uint param_1\, void * param_2)","7"
"operator_new","100048e0","void * operator_new(uint param_1)","19"
"operator_new","10004900","void * operator_new(uint param_1\, char * param_2\, int param_3)","19"
"Update","100049a0","void Update(TRenderContextD3D * this)","67"
"ComputePerspectiveProjection","100049f0","void ComputePerspectiveProjection(TRenderContextD3D * this)","221"
"ComputePerspectiveFrustum","10004ad0","void ComputePerspectiveFrustum(TRenderContextD3D * this)","652"
"ComputeOrthographicProjection","10004d60","void ComputeOrthographicProjection(TRenderContextD3D * this)","215"
